"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Austria","1978","Not applicable","Not applicable","Percent","5.17225"
"Austria","1977","Not applicable","Not applicable","Percent","4.96597"
"Austria","1976","Not applicable","Not applicable","Percent","5.25031"
"Austria","1975","Not applicable","Not applicable","Percent","5.14034"
"Azerbaijan","2013","Not applicable","Not applicable","Percent","2.46218"
"Azerbaijan","2012","Not applicable","Not applicable","Percent","2.0963"
"Azerbaijan","2011","Not applicable","Not applicable","Percent","2.43564"
"Azerbaijan","2010","Not applicable","Not applicable","Percent","2.78062"
"Azerbaijan","2009","Not applicable","Not applicable","Percent","3.22431"
"Azerbaijan","2008","Not applicable","Not applicable","Percent","2.44093"
"Azerbaijan","2007","Not applicable","Not applicable","Percent","2.54928"
"Azerbaijan","2006","Not applicable","Not applicable","Percent","2.55551"
"Azerbaijan","2005","Not applicable","Not applicable","Percent","2.97462"
"Azerbaijan","2004","Not applicable","Not applicable","Percent","3.44766"
"Azerbaijan","2003","Not applicable","Not applicable","Percent","3.28615"
"Azerbaijan","2002","Not applicable","Not applicable","Percent","3.15449"
"Azerbaijan","2001","Not applicable","Not applicable","Percent","3.50342"
"Azerbaijan","2000","Not applicable","Not applicable","Percent","3.85399"
"Azerbaijan","1999","Not applicable","Not applicable","Percent","4.21217"
"Azerbaijan","1998","Not applicable","Not applicable","Percent","3.38"
"Azerbaijan","1996","Not applicable","Not applicable","Percent","3.51252"
"Azerbaijan","1995","Not applicable","Not applicable","Percent","3.33737"
"Azerbaijan","1992","Not applicable","Not applicable","Percent","6.05797"
"Bahamas","2000","Not applicable","Not applicable","Percent","2.84999"
"Bahrain","2012","Not applicable","Not applicable","Percent","2.6447"
"Bahrain","2008","Not applicable","Not applicable","Percent","2.49678"
"Bahrain","2007","Not applicable","Not applicable","Percent","2.575"
"Bahrain","2006","Not applicable","Not applicable","Percent","2.87436"
"Bangladesh","2013","Not applicable","Not applicable","Percent","1.96616"
"Bangladesh","2012","Not applicable","Not applicable","Percent","2.0458"
"Bangladesh","2009","Not applicable","Not applicable","Percent","1.93942"
"Bangladesh","2008","Not applicable","Not applicable","Percent","2.05457"
"Bangladesh","2007","Not applicable","Not applicable","Percent","2.20222"
"Bangladesh","2006","Not applicable","Not applicable","Percent","2.13129"
"Bangladesh","2004","Not applicable","Not applicable","Percent","1.94014"
"Bangladesh","2003","Not applicable","Not applicable","Percent","2.06939"
"Bangladesh","2002","Not applicable","Not applicable","Percent","2.01715"
"Bangladesh","2001","Not applicable","Not applicable","Percent","2.17193"
"Bangladesh","2000","Not applicable","Not applicable","Percent","2.12508"
"Bangladesh","1999","Not applicable","Not applicable","Percent","2.13282"
"Bangladesh","1997","Not applicable","Not applicable","Percent","1.95247"
"Bangladesh","1993","Not applicable","Not applicable","Percent","1.69262"
"Bangladesh","1992","Not applicable","Not applicable","Percent","1.63177"
"Bangladesh","1991","Not applicable","Not applicable","Percent","1.42566"
"Bangladesh","1990","Not applicable","Not applicable","Percent","1.51912"
"Bangladesh","1987","Not applicable","Not applicable","Percent","1.51364"
"Bangladesh","1986","Not applicable","Not applicable","Percent","1.34349"
"Bangladesh","1985","Not applicable","Not applicable","Percent","1.27118"
"Bangladesh","1984","Not applicable","Not applicable","Percent","1.22303"
"Bangladesh","1983","Not applicable","Not applicable","Percent","1.03267"
"Bangladesh","1982","Not applicable","Not applicable","Percent","1.01164"
"Bangladesh","1981","Not applicable","Not applicable","Percent","1.0715"
"Bangladesh","1980","Not applicable","Not applicable","Percent","0.9376"
"Bangladesh","1979","Not applicable","Not applicable","Percent","1.13093"
"Barbados","2014","Not applicable","Not applicable","Percent","6.71179"
"Barbados","2013","Not applicable","Not applicable","Percent","5.50356"
"Barbados","2012","Not applicable","Not applicable","Percent","5.62441"
"Barbados","2010","Not applicable","Not applicable","Percent","5.87482"
"Barbados","2009","Not applicable","Not applicable","Percent","5.32773"
"Barbados","2008","Not applicable","Not applicable","Percent","5.06121"
"Barbados","2007","Not applicable","Not applicable","Percent","5.11607"
"Barbados","2005","Not applicable","Not applicable","Percent","5.56433"
"Barbados","2004","Not applicable","Not applicable","Percent","5.91066"
"Barbados","2003","Not applicable","Not applicable","Percent","6.1233"
"Barbados","2002","Not applicable","Not applicable","Percent","5.77131"
"Barbados","2001","Not applicable","Not applicable","Percent","5.9389"
"Barbados","2000","Not applicable","Not applicable","Percent","4.62159"
"Barbados","1999","Not applicable","Not applicable","Percent","4.25458"
"Barbados","1991","Not applicable","Not applicable","Percent","6.60199"
"Barbados","1977","Not applicable","Not applicable","Percent","6.51775"
"Barbados","1976","Not applicable","Not applicable","Percent","5.9451"
"Belarus","2014","Not applicable","Not applicable","Percent","4.98752"
"Belarus","2013","Not applicable","Not applicable","Percent","5.17594"
"Belarus","2012","Not applicable","Not applicable","Percent","5.12106"
"Belarus","2011","Not applicable","Not applicable","Percent","4.84382"
"Belarus","2010","Not applicable","Not applicable","Percent","5.41013"
"Belarus","2009","Not applicable","Not applicable","Percent","4.51672"
"Belarus","2007","Not applicable","Not applicable","Percent","5.1521"
"Belarus","2006","Not applicable","Not applicable","Percent","6.07696"
"Belarus","2005","Not applicable","Not applicable","Percent","5.87103"
"Belarus","2004","Not applicable","Not applicable","Percent","5.71226"
"Belarus","2000","Not applicable","Not applicable","Percent","6.19662"
"Belarus","1999","Not applicable","Not applicable","Percent","6.00001"
"Belgium","2011","Not applicable","Not applicable","Percent","6.36516"
"Belgium","2010","Not applicable","Not applicable","Percent","6.39667"
"Belgium","2009","Not applicable","Not applicable","Percent","6.39845"
"Belgium","2008","Not applicable","Not applicable","Percent","6.27367"
"Belgium","2007","Not applicable","Not applicable","Percent","5.843"
"Belgium","2006","Not applicable","Not applicable","Percent","5.82776"
"Belgium","2005","Not applicable","Not applicable","Percent","5.77514"
"Belgium","2004","Not applicable","Not applicable","Percent","5.81384"
"Belgium","2003","Not applicable","Not applicable","Percent","5.89272"
"Belgium","2002","Not applicable","Not applicable","Percent","5.95818"
"Belgium","2001","Not applicable","Not applicable","Percent","5.85421"
"Belgium","1996","Not applicable","Not applicable","Percent","3.03222"
"Belgium","1995","Not applicable","Not applicable","Percent","2.97732"
"Belgium","1994","Not applicable","Not applicable","Percent","5.39051"
"Belgium","1993","Not applicable","Not applicable","Percent","5.35193"
"Belgium","1988","Not applicable","Not applicable","Percent","4.2844"
"Belgium","1987","Not applicable","Not applicable","Percent","4.55976"
"Belgium","1986","Not applicable","Not applicable","Percent","4.83388"
"Belgium","1982","Not applicable","Not applicable","Percent","5.29655"
"Belgium","1981","Not applicable","Not applicable","Percent","5.41469"
"Belgium","1980","Not applicable","Not applicable","Percent","5.29049"
"Belgium","1979","Not applicable","Not applicable","Percent","5.35993"
"Belgium","1978","Not applicable","Not applicable","Percent","5.41571"
"Belgium","1977","Not applicable","Not applicable","Percent","5.9661"
"Belgium","1976","Not applicable","Not applicable","Percent","5.70928"
"Belgium","1975","Not applicable","Not applicable","Percent","5.74095"
"Belize","2013","Not applicable","Not applicable","Percent","6.21729"
"Belize","2010","Not applicable","Not applicable","Percent","6.621"
"Belize","2009","Not applicable","Not applicable","Percent","6.10014"
"Belize","2008","Not applicable","Not applicable","Percent","5.68789"
"Belize","2004","Not applicable","Not applicable","Percent","5.2994"
"Belize","2003","Not applicable","Not applicable","Percent","5.20613"
"Belize","2001","Not applicable","Not applicable","Percent","5.79918"
"Belize","2000","Not applicable","Not applicable","Percent","5.02928"
"Belize","1999","Not applicable","Not applicable","Percent","5.44439"
"Benin","2014","Not applicable","Not applicable","Percent","4.7956"
"Benin","2013","Not applicable","Not applicable","Percent","5.01267"
"Benin","2012","Not applicable","Not applicable","Percent","5.26143"
"Benin","2010","Not applicable","Not applicable","Percent","5.34238"
"Benin","2009","Not applicable","Not applicable","Percent","4.5508"
"Benin","2008","Not applicable","Not applicable","Percent","4.08138"
"Benin","2007","Not applicable","Not applicable","Percent","3.49798"
"Benin","2006","Not applicable","Not applicable","Percent","3.82888"
"Benin","2005","Not applicable","Not applicable","Percent","4.00211"
"Benin","2004","Not applicable","Not applicable","Percent","3.91554"
"Benin","2003","Not applicable","Not applicable","Percent","3.42565"
"Benin","2002","Not applicable","Not applicable","Percent","3.21089"
"Benin","2001","Not applicable","Not applicable","Percent","3.46637"
"Benin","2000","Not applicable","Not applicable","Percent","3.14591"
"Benin","1999","Not applicable","Not applicable","Percent","2.83867"
"Benin","1998","Not applicable","Not applicable","Percent","2.74789"
"Bermuda","2014","Not applicable","Not applicable","Percent","1.78285"
"Bermuda","2010","Not applicable","Not applicable","Percent","2.64421"
"Bermuda","2009","Not applicable","Not applicable","Percent","2.61519"
"Bermuda","2005","Not applicable","Not applicable","Percent","1.98877"
"Bermuda","2004","Not applicable","Not applicable","Percent","1.77588"
"Bermuda","2003","Not applicable","Not applicable","Percent","1.66627"
"Bermuda","1998","Not applicable","Not applicable","Percent","2.15227"
"Bermuda","1992","Not applicable","Not applicable","Percent","3.47605"
"Bermuda","1991","Not applicable","Not applicable","Percent","3.15065"
"Bermuda","1990","Not applicable","Not applicable","Percent","3.1362"
"Bermuda","1985","Not applicable","Not applicable","Percent","3.03449"
"Bermuda","1975","Not applicable","Not applicable","Percent","3.43442"
"Bhutan","2014","Not applicable","Not applicable","Percent","5.95991"
"Bhutan","2013","Not applicable","Not applicable","Percent","5.58966"
"Bhutan","2011","Not applicable","Not applicable","Percent","4.65258"
"Bhutan","2010","Not applicable","Not applicable","Percent","4.02447"
"Bhutan","2009","Not applicable","Not applicable","Percent","4.62672"
"Bhutan","2008","Not applicable","Not applicable","Percent","4.7975"
"Bhutan","2005","Not applicable","Not applicable","Percent","7.0781"
"Bhutan","2004","Not applicable","Not applicable","Percent","6.41799"
"Bhutan","2001","Not applicable","Not applicable","Percent","5.7178"
"Bhutan","2000","Not applicable","Not applicable","Percent","5.51379"
"Bolivia","2014","Not applicable","Not applicable","Percent","7.03755"
"Bolivia","2012","Not applicable","Not applicable","Percent","6.43691"
"Bolivia","2011","Not applicable","Not applicable","Percent","6.89264"
"Bolivia","2010","Not applicable","Not applicable","Percent","7.60011"
"Bolivia","2009","Not applicable","Not applicable","Percent","8.0812"
"Bolivia","2008","Not applicable","Not applicable","Percent","7.03973"
"Bolivia","2006","Not applicable","Not applicable","Percent","6.31361"
"Bolivia","2003","Not applicable","Not applicable","Percent","6.37904"
"Bolivia","2002","Not applicable","Not applicable","Percent","6.23031"
"Bolivia","2001","Not applicable","Not applicable","Percent","5.89946"
"Bolivia","2000","Not applicable","Not applicable","Percent","5.47342"
"Bolivia","1999","Not applicable","Not applicable","Percent","5.65932"
"Bolivia","1998","Not applicable","Not applicable","Percent","5.52301"
"Bolivia","1996","Not applicable","Not applicable","Percent","4.65741"
"Bolivia","1995","Not applicable","Not applicable","Percent","5.60817"
"Bolivia","1994","Not applicable","Not applicable","Percent","4.78421"
"Botswana","2009","Not applicable","Not applicable","Percent","9.63293"
"Botswana","2007","Not applicable","Not applicable","Percent","8.88464"
"Botswana","2005","Not applicable","Not applicable","Percent","10.67859"
"Botswana","1992","Not applicable","Not applicable","Percent","6.84061"
"Botswana","1990","Not applicable","Not applicable","Percent","5.73963"
"Botswana","1988","Not applicable","Not applicable","Percent","6.15111"
"Botswana","1987","Not applicable","Not applicable","Percent","6.11773"
"Botswana","1986","Not applicable","Not applicable","Percent","5.18593"
"Botswana","1985","Not applicable","Not applicable","Percent","5.65072"
"Botswana","1984","Not applicable","Not applicable","Percent","5.55166"
"Botswana","1983","Not applicable","Not applicable","Percent","5.55227"
"Botswana","1980","Not applicable","Not applicable","Percent","5.46932"
"Botswana","1979","Not applicable","Not applicable","Percent","6.14173"
"Botswana","1978","Not applicable","Not applicable","Percent","5.95214"
"Botswana","1977","Not applicable","Not applicable","Percent","5.40031"
"Botswana","1976","Not applicable","Not applicable","Percent","6.06396"
"Botswana","1975","Not applicable","Not applicable","Percent","5.64943"
"Brazil","2012","Not applicable","Not applicable","Percent","5.91432"
"Brazil","2011","Not applicable","Not applicable","Percent","5.73953"
"Brazil","2010","Not applicable","Not applicable","Percent","5.64737"
"Brazil","2009","Not applicable","Not applicable","Percent","5.47154"
"Brazil","2008","Not applicable","Not applicable","Percent","5.2727"
"Brazil","2007","Not applicable","Not applicable","Percent","4.97835"
"Brazil","2006","Not applicable","Not applicable","Percent","4.86989"
"Brazil","2005","Not applicable","Not applicable","Percent","4.47671"
"Brazil","2004","Not applicable","Not applicable","Percent","3.97255"
"Brazil","2002","Not applicable","Not applicable","Percent","3.74435"
"Brazil","2001","Not applicable","Not applicable","Percent","3.84304"
"Brazil","2000","Not applicable","Not applicable","Percent","3.93814"
"Brazil","1999","Not applicable","Not applicable","Percent","3.78473"
"Brazil","1998","Not applicable","Not applicable","Percent","4.73948"
"Brazil","1995","Not applicable","Not applicable","Percent","4.47317"
"Brunei Darussalam","2014","Not applicable","Not applicable","Percent","3.76595"
"Brunei Darussalam","2012","Not applicable","Not applicable","Percent","3.20704"
"Brunei Darussalam","2011","Not applicable","Not applicable","Percent","3.68108"
"Brunei Darussalam","2010","Not applicable","Not applicable","Percent","2.04661"
"Brunei Darussalam","2000","Not applicable","Not applicable","Percent","3.70591"
"Brunei Darussalam","1999","Not applicable","Not applicable","Percent","4.93205"
"Brunei Darussalam","1998","Not applicable","Not applicable","Percent","5.25395"
"Brunei Darussalam","1993","Not applicable","Not applicable","Percent","4.29403"
"Brunei Darussalam","1992","Not applicable","Not applicable","Percent","3.74769"
"Brunei Darussalam","1991","Not applicable","Not applicable","Percent","3.66894"
"Brunei Darussalam","1990","Not applicable","Not applicable","Percent","3.95996"
"Brunei Darussalam","1989","Not applicable","Not applicable","Percent","4.69012"
"Brunei Darussalam","1988","Not applicable","Not applicable","Percent","5.40903"
"Brunei Darussalam","1987","Not applicable","Not applicable","Percent","4.73773"
"Brunei Darussalam","1982","Not applicable","Not applicable","Percent","1.69715"
"Brunei Darussalam","1981","Not applicable","Not applicable","Percent","1.61678"
"Brunei Darussalam","1980","Not applicable","Not applicable","Percent","1.19108"
"Brunei Darussalam","1979","Not applicable","Not applicable","Percent","1.54552"
"Brunei Darussalam","1978","Not applicable","Not applicable","Percent","2.11424"
"Brunei Darussalam","1976","Not applicable","Not applicable","Percent","1.97008"
"Brunei Darussalam","1975","Not applicable","Not applicable","Percent","1.96134"
"Bulgaria","2012","Not applicable","Not applicable","Percent","3.58936"
"Bulgaria","2011","Not applicable","Not applicable","Percent","3.66867"
"Bulgaria","2010","Not applicable","Not applicable","Percent","4.01754"
"Bulgaria","2009","Not applicable","Not applicable","Percent","4.43296"
"Bulgaria","2008","Not applicable","Not applicable","Percent","4.31128"
"Bulgaria","2007","Not applicable","Not applicable","Percent","3.7474"
"Bulgaria","2006","Not applicable","Not applicable","Percent","3.98817"
"Bulgaria","2005","Not applicable","Not applicable","Percent","4.18855"
"Bulgaria","2004","Not applicable","Not applicable","Percent","2.34126"
"Bulgaria","2003","Not applicable","Not applicable","Percent","4.00671"
"Bulgaria","2002","Not applicable","Not applicable","Percent","3.39842"
"Bulgaria","2001","Not applicable","Not applicable","Percent","3.35575"
"Bulgaria","1998","Not applicable","Not applicable","Percent","2.81427"
"Bulgaria","1996","Not applicable","Not applicable","Percent","2.71204"
"Bulgaria","1995","Not applicable","Not applicable","Percent","3.44701"
"Bulgaria","1994","Not applicable","Not applicable","Percent","4.17066"
"Bulgaria","1993","Not applicable","Not applicable","Percent","4.95049"
"Bulgaria","1992","Not applicable","Not applicable","Percent","5.26046"
"Bulgaria","1991","Not applicable","Not applicable","Percent","5.42962"
"Bulgaria","1990","Not applicable","Not applicable","Percent","4.45406"
"Bulgaria","1980","Not applicable","Not applicable","Percent","3.52948"
"Burkina Faso","2013","Not applicable","Not applicable","Percent","4.52597"
"Burkina Faso","2012","Not applicable","Not applicable","Percent","4.05353"
"Burkina Faso","2011","Not applicable","Not applicable","Percent","4.48326"
"Burkina Faso","2010","Not applicable","Not applicable","Percent","3.93896"
"Burkina Faso","2007","Not applicable","Not applicable","Percent","4.58858"
"Burkina Faso","2006","Not applicable","Not applicable","Percent","4.45703"
"Burkina Faso","2005","Not applicable","Not applicable","Percent","4.4326"
"Burkina Faso","1996","Not applicable","Not applicable","Percent","1.44026"
"Burkina Faso","1994","Not applicable","Not applicable","Percent","3.4511"
"Burkina Faso","1988","Not applicable","Not applicable","Percent","1.42608"
"Burkina Faso","1985","Not applicable","Not applicable","Percent","1.76396"
"Burkina Faso","1983","Not applicable","Not applicable","Percent","1.75448"
"Burkina Faso","1980","Not applicable","Not applicable","Percent","1.9618"
"Burkina Faso","1978","Not applicable","Not applicable","Percent","1.67983"
"Burundi","2013","Not applicable","Not applicable","Percent","5.41475"
"Burundi","2012","Not applicable","Not applicable","Percent","5.82091"
"Burundi","2011","Not applicable","Not applicable","Percent","5.99779"
"Burundi","2010","Not applicable","Not applicable","Percent","6.79287"
"Burundi","2009","Not applicable","Not applicable","Percent","6.31979"
"Burundi","2008","Not applicable","Not applicable","Percent","5.19355"
"Burundi","2005","Not applicable","Not applicable","Percent","3.63169"
"Burundi","2004","Not applicable","Not applicable","Percent","3.74496"
"Burundi","2002","Not applicable","Not applicable","Percent","3.00493"
"Burundi","2001","Not applicable","Not applicable","Percent","2.90391"
"Burundi","2000","Not applicable","Not applicable","Percent","2.64548"
"Burundi","1999","Not applicable","Not applicable","Percent","3.41745"
"Burundi","1996","Not applicable","Not applicable","Percent","4.08324"
